address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,CompanyExecutives,totalRevenueInt,encoded_address2,longitude,latitude
Postal No. 08-66,"Level 8 Berjaya Times Square No.1, Jalan Imbi",Kuala Lumpur,55100,Malaysia,60 3 2119 1711,60 3 2119 1712,https://www.7eleven.com.my,Grocery Stores,Consumer Defensive,"7-Eleven Malaysia Holdings Berhad, an investment holding company, owns, operates, and franchises a chain of convenience stores under the 7-Eleven brand in Malaysia. The company operates through Convenience Stores and Others segments. Its stores offer a range of grocery and food items, including hot food and beverages; manage the distribution of reloads of mobile phones and online games; and manufactures prepared meals and dishes. The company also provides various bill payment, Touch n Go card reload, Touch 'n Go eWallet reload, Razer Gold reload, Grab driver reload, gift cards, online purchases payment, photocopying, fax, and automated teller machine services. In addition, it is involved in the real property investment and foodstuff supply business; manufacture of prepared meals and dishes; and provision of integrated logistics and warehousing services, as well as information technology solution, technical and maintenance support service, and software solution. The company was formerly known as Seven Covenience Berhad. 7-Eleven Malaysia Holdings Berhad was founded in 1927 and is headquartered in Kuala Lumpur, Malaysia.",11382.0,,31/12/2023,86400.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.03,0.0135,10/05/2024,0.8157,1.73,-0.285,25.0,100.0,100.0,17842.0,7690.0,7690.0,1.98,2.0,"RM 2,218,139,904.00",1.9,2.29,0.79687387,1.9954,1.9844,0.027,0.0135,MYR,"RM 2,781,285,120.00",0.09404001,"RM 166,936,690.00","RM 1,109,069,952.00",0.85989,0.041939996,0.325,6.1538463,31/12/2023,31/12/2024,31/12/2023,66.234,"RM -12,510,000.00",-0.02,0.08,473.83,0.999,16.408,KLS,EQUITY,5250.KL,5250.KL,SEM,7-Eleven Malaysia Holdings Berhad,30/05/2014,Asia/Kuala_Lumpur,MYT,47061725-d70d-358d-9b67-98d5b452f30a,28800000.0,2.0,2.59,1.9,2.11,2.0,3.2,hold,5.0,"RM 835,524,992.00",0.753,"RM 169,510,000.00","RM 1,401,666,944.00",0.833,1.16,"RM 2,783,552,000.00",392.299,2.509,0.02251,-0.04922,"RM 4,768,000.00","RM 257,010,000.00",66.58,0.055,0.31113002,0.060900003,-0.04048,MYR,,"Mr. U-Ming  Tan, Joint CEO & Executive Director; Mr. Wai Keong Wong, Joint CEO & Executive Director; Mr. Wei Ee Ng, Finance Director; Ms. Seok Theng Chua, Chief Information Officer; Ms. Hwei Ping Tia, Joint Secretary; Madam Yit Chan Tai, Company Secretary",2783552000.0,Level%208%20Berjaya%20Times%20Square%20No.1%2C%20Jalan%20Imbi,,
,,,,,,,,,,,,,,86400.0,4.0,1.232,1.23,1.23,1.238,1.232,1.23,1.23,1.238,,,,,,,,2800.0,2800.0,6756.0,1020.0,1020.0,1.233,1.24,,1.17,1.25,,1.22838,1.21362,,,MYR,,,,,,,,,,,,,,,,,,,KLS,EQUITY,0800EA.KL,0800EA.KL,ABFMY1,ABF Malaysia Bond Index,01/01/2008,Asia/Kuala_Lumpur,MYT,44150dff-8bdf-31da-adbb-e4b79b65885a,28800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,
PTD 124298,Jalan Kempas Lama Kampung Seelong Jaya,Sekudai,81300,Malaysia,60 7 599 8990,60 7 599 8991,https://www.ableglobalbhd.com.my,Packaged Foods,Consumer Defensive,"Able Global Berhad, an investment holding company, manufactures and sells tin cans and dairy products in Malaysia. It operates through Tin Cans Manufacturing; and Food and Beverage (F&B) segments. The Tin Cans Manufacturing segment is involved in the manufacture of various tins, cans, and other containers; and the provision of tinplates printing services. This segment serves customers of various industries, including biscuit, paint and chemical, edible oil, and food processing industries. The F&B segment manufactures and sells milk and other related dairy products comprising of sweetened condensed milk and evaporated milk as well as milk powder; and packs and trades in various dairy products. It also engages in property development activity; and the wholesale of dairy products. The company also exports its products primarily to West Africa, South-East Asia Region, Europe, and American Continent. The company was formerly known as Johore Tin Berhad and changed its name to Able Global Berhad in July 2021. The company was founded in 1973 and is based in Sekudai, Malaysia.",,,31/12/2023,86400.0,4.0,2.0,1.99,1.99,2.05,2.0,1.99,1.99,2.05,0.07,0.0325,13/03/2024,0.32619998,3.62,0.618,11.941176,693500.0,693500.0,880303.0,974110.0,974110.0,2.04,1.99,"RM 624,352,896.00",1.24,2.05,0.9633674,1.759,1.4892,0.065,0.0325,MYR,"RM 752,982,848.00",0.080010004,"RM 150,628,874.00","RM 307,563,008.00",0.50985,0.114209995,1.433,1.4166086,31/12/2023,31/12/2024,31/12/2023,1.164,"RM 51,857,196.00",0.17,0.17,,1.162,9.021,KLS,EQUITY,7167.KL,7167.KL,ABLEGLOB,Able Global Berhad,31/10/2003,Asia/Kuala_Lumpur,MYT,985c8fcf-7fc7-3b0f-8e9a-19846264446d,28800000.0,2.03,1.94,1.6,1.77,1.77,2.0,buy,2.0,"RM 136,500,880.00",0.444,"RM 83,469,152.00","RM 272,468,672.00",1.216,3.029,"RM 648,094,272.00",61.573,2.107,0.058520004,0.12375,"RM 66,649,816.00","RM 99,990,256.00",1.167,0.322,0.22771999,0.12878999,0.15635,MYR,,"Mr. Keng Hoe Ng, Executive Chairman; Mr. Swee Wang Goh, CEO & Executive Director; Mr. Ah Seng Yeow, Executive Director; Mr. Chee Ming Foo, Group Finance Manager; Ms. Li Ling Goh, Operations Manager; Mr. Sze How  Lew, Head of Internal Audit; Ms. Chee Yin  Wong ACIS, Company Secretary",648094272.0,Jalan%20Kempas%20Lama%20Kampung%20Seelong%20Jaya,,
Block D4-U2-10,"Level 2 Solaris Dutamas No. 1, Jalan Dutamas 1",Kuala Lumpur,50480,Malaysia,60 3 6207 8186,60 3 6207 8786,https://www.ablegroup.com.my,Building Products & Equipment,Industrials,"AbleGroup Berhad, an investment holding company, engages in the processing, trading, export, and contract workmanship of marble and granite slabs in Malaysia. It operates through, Building Material and Property Development segments. The company supplies, delivers, and installs stone and tiling works. It is also involved in the property development business. The company was formerly known as Gefung Holdings Berhad and changed its name to AbleGroup Berhad in June 2012. The company was incorporated in 2004 and is based in Kuala Lumpur, Malaysia. AbleGroup Berhad operates as a subsidiary of Parallel Pinnacle Sdn Bhd.",,,31/12/2023,86400.0,4.0,0.115,0.115,0.115,0.12,0.115,0.115,0.115,0.12,,,18/12/2000,,,0.612,,479400.0,479400.0,233076.0,437440.0,437440.0,0.12,0.12,"RM 31,668,000.00",0.105,0.14,5.7662053,0.1118,0.11555,,,MYR,"RM 26,738,500.00",0.10889,"RM 74,340,630.00","RM 263,900,000.00",0.73103994,,0.165,0.7272727,31/12/2023,31/12/2024,31/12/2023,0.335,"RM 598,000.00",,,,4.869,45.319,KLS,EQUITY,7086.KL,7086.KL,ABLEGRP,AbleGroup Berhad,27/03/2000,Asia/Kuala_Lumpur,MYT,67148cf1-670e-3032-8a19-2e6f0d38f0b6,28800000.0,0.12,,,,,,none,,"RM 4,277,000.00",0.016,"RM 590,000.00","RM 667,000.00",3.059,4.535,"RM 5,492,000.00",1.532,0.021,0.0073100002,0.013830001,"RM 1,673,388.00","RM 1,157,000.00",0.35,-0.178,0.36635,0.10743,0.090629995,MYR,,"Mr. Kim Huat Lim, MD & Executive Director; Ms. Li Feng Tan, Acting Chief Operating Officer; Ms. Fei Chia Lim, Company Secretary; Ms. Fong Shian  Tan, Company Secretary",5492000.0,Level%202%20Solaris%20Dutamas%20No.%201%2C%20Jalan%20Dutamas%201,,
"Lot 2224, Section 66",Lorong Pangkalan Off Jalan Pangkalan Pending Industrial Estate,Kuching,93450,Malaysia,60 8 233 3344,60 8 248 3603,https://www.abmfujiya.com.my,Auto Parts,Consumer Cyclical,"ABM Fujiya Berhad, an investment holding company, manufactures and sells automotive batteries and batteries for storage and electrical application in Malaysia. It operates through two segments, Manufacturing and Marketing. The company offers conventional lead acid, low-maintenance lead acid, and maintenance-free batteries, as well as calcium hybrid, deep cycle, marine/recreational application batteries. In addition, it is involved in the trading, marketing, and retailing of batteries, lubricants, and other automotive parts. The company exports its products. ABM Fujiya Berhad was incorporated in 2003 and is based in Kuching, Malaysia. The company operates as a subsidiary of Kayatas Sdn. Bhd.",,,31/12/2023,86400.0,4.0,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,,,,,,0.681,,2000.0,2000.0,20516.0,24570.0,24570.0,0.31,0.335,"RM 60,300,000.00",0.3,0.46,0.47284865,0.3382,0.36495,,,MYR,"RM 274,262,880.00",-0.11889,"RM 13,899,600.00","RM 180,000,000.00",0.92278,,0.814,0.41154793,31/12/2023,31/12/2024,31/12/2023,,"RM -15,161,176.00",-0.08,,,2.151,70.777,KLS,EQUITY,5198.KL,5198.KL,AFUJIYA,ABM Fujiya Berhad,23/07/2013,Asia/Kuala_Lumpur,MYT,99bbd8e1-8283-3f1d-b8fb-5a92ec7b0631,28800000.0,0.335,,,,,,none,,"RM 21,257,236.00",0.118,"RM 3,875,030.00","RM 235,220,128.00",0.479,0.949,"RM 127,524,952.00",160.576,0.708,-0.01375,-0.098409995,"RM -80,937,640.00","RM -42,738,608.00",,0.331,0.03178,0.03039,-0.19513,MYR,,"Mr. Ah Ching Tay, Non-Independent Executive Group Chairman; Mr. Tze How Tay, Non-Independent MD & Director; Ms. Siew Ling Tay, Administration, Human Resource Manager & Non-Independent Executive Director; Mr. Tze Poh Tay, Non-Independent Deputy MD & Director; Ms. Hui Lian Ong, Finance Manager; Ms. Sing Lin Tie, Accountant; Ms. Puay Huang Yeo, Company Secretary",127524952.0,Lorong%20Pangkalan%20Off%20Jalan%20Pangkalan%20Pending%20Industrial%20Estate,,
No. 19-1,Jalan USJ 10/1D Taipan Business Centre,Subang Jaya,47620,Malaysia,60 3 8081 7198,,https://goinno2u.com,Capital Markets,Financial Services,"Go Innovate Asia Berhad, an investment holding company, primarily engages in the trading of precious metals and related activities in Malaysia and Singapore. It operates through three segments: Trading, Assaying, and Information Communication and Technology (ICT). The Trading segment trades in precious metals, such as scrap, cast, and minted gold bars. The Assaying segment provides technical testing and analysis, assaying, and refining of precious metals. The ICT segment develops information technology; deals and trades in providing ICT and consultancy services; and deals, trades in, and operates software research and development businesses. The company was formerly known as ACE Innovate Asia Berhad and changed its name to Go Innovate Asia Berhad in July 2023. The company was founded in 2009 and is based in Subang Jaya, Malaysia. Go Innovate Asia Berhad operates as a subsidiary of ACE Dynamic Team Sdn Bhd.",,,,86400.0,4.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,27/04/2021,,,-0.007,,25000.0,25000.0,,,,,,"RM 45,004,952.00",0.15,0.35,0.049298428,0.15,0.205,,,MYR,"RM 39,709,496.00",0.00169,,"RM 300,032,992.00",0.88001,,0.087,1.724138,31/12/2023,31/12/2024,31/12/2023,,"RM 1,546,448.00",,,,0.043,193.593,KLS,EQUITY,03028.KL,03028.KL,GOINNO,Go Innovate Asia Berhad,07/01/2020,Asia/Kuala_Lumpur,MYT,a9570c5f-92da-3d20-8c18-36736d45d452,28800000.0,0.15,,,,,,none,,"RM 14,077,134.00",0.047,"RM 205,118.00","RM 8,813,142.00",1.114,1.818,"RM 912,908,480.00",33.795,3.043,-0.0025099998,0.060500003,"RM 4,644,896.00","RM 9,317,577.00",,-0.189,0.0126600005,0.00022,-0.00409,MYR,,"Mr. Pok Yee Fong, CEO & Executive Director; Ms. Bee Joh Chan, Chief Financial Officer; Mr. Weng Fai Leong, Chief Technology Officer; Ms. Mee Kiat  Wong, Company Secretary; Ms. Li Heong Lim, Company Secretary",912908480.0,Jalan%20USJ%2010/1D%20Taipan%20Business%20Centre,,
488A-16-01 Office Tower,Kompleks Midlands Park Jalan Burma,Georgetown,10350,Malaysia,60 4 210 9911,,https://acmeholdings.com.my,Packaging & Containers,Consumer Cyclical,"ACME Holdings Berhad, an investment holding company, engages in the housing and property development business in Malaysia and internationally. It operates through Manufacturing, Property Development, and Others segments. The company also manufactures and sells various plasticware products; and home and house ware products, such as kitchenware, toys, etc. In addition, it engages in the property letting business. The company is based in Georgetown, Malaysia.",,,31/12/2023,86400.0,4.0,0.205,0.21,0.21,0.215,0.205,0.21,0.21,0.215,,,29/12/2004,,,0.596,,261100.0,261100.0,727357.0,892180.0,892180.0,0.21,0.215,"RM 75,339,392.00",0.17,0.32,1.4030734,0.1951,0.23035,,,MYR,"RM 76,093,512.00",0.09793,"RM 120,385,036.00","RM 358,759,008.00",0.64856005,,0.31,0.6774193,31/03/2023,31/03/2024,31/12/2023,6.806,"RM 5,258,621.00",0.01,,,1.417,7.382,KLS,EQUITY,7131.KL,7131.KL,ACME,ACME Holdings Berhad,02/04/2002,Asia/Kuala_Lumpur,MYT,965569fc-a897-3f5a-ae7a-e21533016377,28800000.0,0.21,,,,,,none,,"RM 2,778,000.00",0.008,"RM 10,308,566.00","RM 5,326,000.00",3.056,6.08,"RM 53,695,972.00",4.795,0.15,0.049060002,0.048499998,"RM -20,306,768.00","RM -16,891,944.00",7.284,10.149,0.1981,0.19198,0.13876,MYR,,"Mr. Thean Yew Lee, CFO & Executive Director; Dr. Kuang Shing Lee, Founder; Madam Poe-Pyng  Hing, Company Secretary; Madam Yee Lin  Wong, Joint Secretary",53695972.0,Kompleks%20Midlands%20Park%20Jalan%20Burma,,
"PLO 264, No. 14",Jalan Firma 3 Kawasan Perindustrian Tebrau 4,Johor Bahru,81100,Malaysia,60 7 361 9399,60 7 361 9531,https://www.acogroup.com.my,Electronics & Computer Distribution,Technology,"ACO Group Berhad, an investment holding company, distributes electrical products and accessories for industrial, commercial, and residential use primarily in Malaysia. The company operates through Industrial Users and Resellers segments. It provides cables, wires, and accessories for buildings, as well as power cables for connection to industrial plants, equipment, and machineries; and electrical distribution, protection, and control devices for power, protection of property, machineries and lives, and control of electricity flow, as well as monitoring and measurement devices. The company also offers electrical appliances and accessories, such as lightings and fittings, fans and air-conditioners, water heaters, switches, and power outlets; and water plumbing materials, power tools and accessories, and CCTV and alarm systems. It serves electrical contractors, electrical product manufacturers, factory and business owners, architects, distributors and retailers, and interior designers, as well as equipment and machinery repair and maintenance service providers. The company was founded in 1991 and is headquartered in Johor Bahru, Malaysia. ACO Group Berhad is a subsidiary of Kompas Realty Sdn. Bhd.",,,31/12/2023,86400.0,4.0,0.235,0.23,0.23,0.23,0.235,0.23,0.23,0.23,,0.0085,04/08/2023,0.18180001,,0.606,,193900.0,193900.0,986986.0,867330.0,867330.0,0.225,0.23,"RM 79,895,336.00",0.195,0.295,0.5814418,0.2279,0.227975,0.002,0.008510639,MYR,"RM 86,596,184.00",0.02201,"RM 98,962,524.00","RM 347,371,008.00",0.72225,,0.265,0.8679246,29/02/2024,28/02/2025,29/02/2024,1.369,"RM 3,024,000.00",0.01,,,0.63,12.804,KLS,EQUITY,0218.KL,0218.KL,ACO,ACO Group Berhad,18/03/2020,Asia/Kuala_Lumpur,MYT,e4969c03-7346-371e-9214-8092bb53660d,28800000.0,0.23,,,,,,none,,"RM 16,905,000.00",0.049,"RM 6,763,000.00","RM 21,869,000.00",1.01,1.896,"RM 137,408,992.00",23.745,0.396,0.02142,0.03331,"RM 4,731,073.00","RM 788,000.00",1.37,0.285,0.13932,0.04922,0.03021,MYR,,"Mr. Yushan  Tan, Group MD & CFO; Engineer Pee Tee  Tang, Executive Deputy Chairman; Ms. Swee Ching Low, Head of Operations; Ms. Su Yee Chong, Head of Human Resource; Ms. Lee Hua Lim, Head of Procurement; Ms. Seah Lih Fong, Company Secretary; Hui Fang Kuan, Joint Secretary",137408992.0,Jalan%20Firma%203%20Kawasan%20Perindustrian%20Tebrau%204,,
"No. 18, Jalan Balam",,Kuala Lumpur,51100,Malaysia,60 3 4043 2699,60 3 4043 2690,https://www.aim-net.com.my,Specialty Business Services,Industrials,"Advance Information Marketing Berhad, an investment holding company, operates as a business process outsourcing solution provider in Malaysia and Indonesia. It operates through two segments, Managed Customer Loyalty Services and Others. The company offers sales and marketing, client relationship management, and outsourced contact center management services; and Advance Information Marketing System, an enterprise marketing management solution. It also provides business intelligence, integrated marketing, and contact center management; and loyalty management services, such as consultation, technology infrastructure, and technical support to procurement and logistics services. In addition, the company offers outsourced procurement and fulfillment services through local suppliers and mail order programs, including warehousing and distribution services; and retail sales of pharmaceuticals, medical, orthopedic goods, and other food products. Advance Information Marketing Berhad was incorporated in 2004 and is headquartered in Kuala Lumpur, Malaysia.",,,31/12/2023,86400.0,4.0,0.075,0.08,0.075,0.08,0.075,0.08,0.075,0.08,,,22/10/2008,,,0.225,,101000.0,101000.0,2063823.0,371800.0,371800.0,0.075,0.08,"RM 29,266,276.00",0.065,0.2,8.293079,0.0723,0.09526337,,,MYR,"RM 2,066,254.00",-1.34061,"RM 262,256,855.00","RM 390,216,992.00",0.35653,,0.077,0.974026,31/12/2023,31/12/2024,31/12/2023,,"RM -4,731,000.00",-0.03,,,0.586,-0.472,KLS,EQUITY,0122.KL,0122.KL,AIM,Advance Information Marketing Berhad,09/05/2006,Asia/Kuala_Lumpur,MYT,230f5a27-9ade-3b82-8d42-22e1ca7d189f,28800000.0,0.075,,,,,,none,,"RM 29,409,000.00",0.075,"RM -4,374,000.00","RM 2,222,000.00",3.34,3.36,"RM 3,529,000.00",7.44,0.035,-0.11131,-0.246,"RM 4,620,617.00","RM 3,007,000.00",,,0.12185001,-1.23944,-1.7699001,MYR,,"Mr. Siew Wei Mak, Executive Director; Mr. Siok Chen Yeoh, Chief Executive Officer; Ms. Hui Fang See, Financial Controller; Ms. Yuet Chyn Wong, Company Secretary; Ms. Koon Ling Tang, Company Secretary",3529000.0,nan,,
Synergy 9,Ground Floor 9 Jalan Kajibumi U1/70 Temasya Glenmarie,Shah Alam,40150,Malaysia,60 3 5192 8822,60 3 5192 8811,https://www.asb.com.my,Travel Services,Consumer Cyclical,"Advance Synergy Berhad, an investment holding company, operates in the property development and investment services in Malaysia. The company operates through Property Development and Investment, Information and Communications Technology, Travel and Tours, Financial Services, and Others segments. The company's Property development and investment segment develops residential and commercial properties, operates hotels and resorts, and engages in property management, operation, and management of serviced office and other services. Its Information and communications technology segment designs and develops telecommunications software applications and systems, as well as provides solutions and services for the telecommunications industry. The company's Travel and tours segment provides travel related services. The Financial services segment engages in money services, payment card issuing, and related service businesses. In addition, the company involves in designing, building, and fabrication of coaches, bus maintenance and related services; and operates language center. Further, the company owns and operates language center and offers related services. Advance Synergy Berhad was incorporated in 1920 and is based in Shah Alam, Malaysia.",,,31/12/2023,86400.0,4.0,0.125,0.125,0.125,0.14,0.125,0.125,0.125,0.14,,0.004,26/07/2024,0.0584,1.53,1.805,,58348500.0,58348500.0,6812376.0,7219540.0,7219540.0,0.13,0.125,"RM 316,150,016.00",0.085,0.185,1.0993998,0.1066,0.131225,0.001,0.008,MYR,"RM 441,412,352.00",-0.17157,"RM 1,057,835,785.00","RM 2,529,200,128.00",0.58175,0.01909,0.166,0.75301206,31/12/2023,31/12/2024,31/12/2023,,"RM -49,339,000.00",-0.02,,,1.535,-50.656,KLS,EQUITY,1481.KL,1481.KL,ASB,Advance Synergy Berhad,03/01/2000,Asia/Kuala_Lumpur,MYT,59c96fda-f43a-3433-8f0a-6142b7d55e10,28800000.0,0.125,,,,,,none,,"RM 107,746,000.00",0.043,"RM -8,714,000.00","RM 165,416,000.00",1.776,2.338,"RM 287,566,016.00",33.881,0.114,-0.013099999,-0.15331,"RM -61,567,500.00","RM -26,366,000.00",,-0.165,0.22940001,-0.030299999,-0.15242,MYR,,"Ms. Su Nie Lee, Group MD & Non-Independent Director; Mr. Anton Syazi Bin Ahmad Sebi, Group Executive Deputy Chairman; Kok Siong Lim, Senior Finance Manager; Ching Ping Wong, Senior Accounts Manager; Ms. Mei Fen Ong, Legal Associate & Compliance Officer; Mr. Ngiap Koon Sng, Chief Operating Officer of Asset Development; Ms. Ping Huey Cheah, CEO of Synergy Tours Sdn Bhd & Executive Director of Orient Escape Travel Sdn Bhd; Mr. Foo Choong Cheah, Executive Director of Qurex Sdn Bhd & CEO of Paydee Sdn Bhd; Ms. Lim Lee Chin, Company Secretary; Mr. Michael Turrisi Frank, Production & Technical Director of Quality Bus & Coach (M) Sdn Bhd",287566016.0,Ground%20Floor%209%20Jalan%20Kajibumi%20U1/70%20Temasya%20Glenmarie,,
