Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeDiscontinuousOperations,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,OperatingIncome,OperatingExpense,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,,,,,,
7-ELEVEN MALAYSIA HOLDINGS BERHAD,45291,0,0.24,"RM87,408,000.00","RM-22,812,000.00","RM1,917,513,000.00","RM87,408,000.00","RM87,408,000.00","RM-65,837,000.00","RM65,837,000.00","RM-22,812,000.00","RM261,766,000.00","RM2,689,771,000.00",#NUM!,"RM93,781,000.00",,,#NUM!,#NUM!,261766000,261766000,0,261766000,"RM-8,352,000.00",270118000,284578000,-14460000,36031000,21571000,#NUM!,-65837000,65837000,93781000,772258000,933739000,736984000,196755000,866039000,1917513000,"RM2,783,552,000.00","RM2,783,552,000.00",,,,,,,,,,,,,,,,
7-ELEVEN MALAYSIA HOLDINGS BERHAD,44926,0,0.24,"RM133,820,000.00","RM16,129,000.00","RM1,685,480,000.00","RM133,820,000.00","RM133,820,000.00","RM-60,389,000.00","RM60,389,000.00","RM16,129,000.00","RM66,875,000.00","RM2,347,522,000.00",12547000,"RM137,169,000.00","RM1,123,309,000.00","RM1,123,309,000.00",0.0595,0.0595,66875000,66875000,0,66875000,"RM-17,453,000.00",84328000,50746000,33582000,39849000,73431000,#NUM!,-60389000,60389000,137169000,662042000,804669000,646655000,158014000,799211000,1685480000,"RM2,484,691,000.00","RM2,484,691,000.00",,,,,,,,,,,,,,,,
7-ELEVEN MALAYSIA HOLDINGS BERHAD,44561,0,0.363403,"RM153,887,000.00","RM44,348,000.00","RM2,049,503,000.00","RM153,887,000.00","RM153,887,000.00","RM-61,458,000.00","RM61,458,000.00","RM44,348,000.00","RM44,348,000.00","RM2,654,613,000.00",7092000,"RM153,887,000.00","RM1,127,043,000.00","RM1,127,043,000.00",0.0393,0.0393,44348000,44348000,0,44348000,"RM-14,492,000.00",58840000,#NUM!,58840000,33589000,92429000,#NUM!,-61458000,61458000,153887000,605110000,777940000,621850000,156090000,758997000,2049503000,"RM2,808,500,000.00","RM2,808,500,000.00",,,,,,,,,,,,,,,,
7-ELEVEN MALAYSIA HOLDINGS BERHAD,44196,0,0.24,"RM116,930,000.00","RM29,766,000.00","RM1,817,141,000.00","RM116,930,000.00","RM116,930,000.00","RM-54,274,000.00","RM54,274,000.00","RM29,766,000.00","RM29,766,000.00","RM2,421,132,000.00",7330000,"RM117,896,000.00","RM1,144,404,000.00","RM1,144,404,000.00",0.026,0.026,29766000,29766000,0,29766000,"RM-5,587,000.00",35353000,#NUM!,35353000,27303000,62656000,183000,-54274000,54274000,117896000,603991000,772134000,616565000,155569000,721887000,1817141000,"RM2,539,028,000.00","RM2,539,028,000.00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,SpecialIncomeCharges,WriteOff,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,OperatingIncome,OperatingExpense,OtherOperatingExpenses,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,,,,
ABLE GLOBAL BERHAD,45291,-167243.181861,0.244025,"RM89,511,578.00",-685354,-685354,"RM51,857,196.00",13617202,"RM500,513,344.00","RM88,826,224.00","RM75,209,022.00","RM-6,022,848.00","RM6,022,848.00","RM52,375,306.82","RM51,857,196.00","RM574,197,430.00",#NUM!,,,#NUM!,#NUM!,51857196,51857196,0,51857196,"RM-445,855.00",52303051,52303051,16883123,69186174,-685354,685354,-6022848,6022848,73896816,73684086,26927236,13617202,13617202,147580902,500513344,"RM648,094,246.00","RM648,094,246.00",,,,,,,,,,,,,,
ABLE GLOBAL BERHAD,44926,8067.932289,0.215214,"RM56,617,279.00",37488,37488,"RM33,385,382.00",11448620,"RM428,816,200.00","RM56,654,767.00","RM45,206,146.00","RM-2,406,660.00","RM2,406,660.00","RM33,355,961.93","RM33,385,382.00","RM502,295,363.00",1251737,"RM307,562,786.00","RM307,562,786.00",0.1085,0.1085,33385382,33385382,0,33385382,"RM-203,067.00",33588449,33588449,9211037,42799486,37488,-37488,-2406660,2406660,47526846,73479163,30379874,11448621,11448621,121006009,428816200,"RM549,822,209.00","RM549,822,209.00",,,,,,,,,,,,,,
ABLE GLOBAL BERHAD,44561,-508921.499644,0.271837,"RM65,473,543.00",-1872154,-1872154,"RM36,911,517.00",11598990,"RM370,353,466.00","RM63,601,389.00","RM52,002,399.00","RM-577,454.00","RM577,454.00","RM38,274,749.50","RM36,911,517.00","RM442,129,810.00",1650484,"RM307,562,786.00","RM307,562,786.00",0.12,0.12,36911517,36911517,0,36911517,"RM-534,204.00",37445721,37445721,13979224,51424945,-1872154,1872154,-577454,577454,57729887,71776344,29047401,11598990,11598990,129506231,370353466,"RM499,859,697.00","RM499,859,697.00",,,,,,,,,,,,,,
ABLE GLOBAL BERHAD,44196,-992075.216707,0.251485,"RM70,086,382.00",-3944868,-3944868,"RM39,489,984.00",11535206,"RM370,525,156.00","RM66,141,514.00","RM54,606,308.00","RM-1,383,536.00","RM1,383,536.00","RM42,442,776.78","RM39,489,984.00","RM444,027,182.00",1944922,"RM307,562,786.00","RM307,562,786.00",0.1284,0.1284,39489984,39489984,0,39489984,"RM-348,058.00",39838042,39838042,13384730,53222772,-3944868,3944868,-1383536,1383536,58232542,73502026,28796118,11535206,11535206,131734568,370525156,"RM502,259,724.00","RM502,259,724.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,InterestIncome,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,SpecialIncomeCharges,OtherSpecialCharges,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,InterestIncomeNonOperating,OperatingIncome,OperatingExpense,OtherOperatingExpenses,SellingGeneralAndAdministration,SellingAndMarketingExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,,
ABLEGROUP BERHAD,44926,0,0,"RM359,624.00",4496,4496,"RM67,123.00",290601,"RM2,907,647.00","RM364,120.00","RM73,519.00","RM33,461.00","RM6,396.00",39857,"RM62,627.00","RM67,123.00","RM4,420,937.00",2400,"RM73,519.00","RM263,899,852.00","RM263,899,852.00",0.0003,0.0003,67123,67123,0,67123,67123,67123,0,67123,4496,-4496,33461,6396,39857,29166,1513290,1497719,15571,15571,1542456,2907647,"RM4,450,103.00","RM4,450,103.00",,,,,,,,,,,,
ABLEGROUP BERHAD,44561,0,0,"RM-833,078.00",29999,29999,"RM-1,101,224.00",292360,"RM2,295,783.00","RM-803,079.00","RM-1,095,439.00","RM20,180.00","RM5,785.00",25965,"RM-1,131,223.00","RM-1,101,224.00","RM4,382,229.00",2400,"RM-1,095,439.00","RM263,899,852.00","RM263,899,852.00",-0.0042,-0.0042,-1101224,-1101224,0,-1101224,-1101224,-1101224,0,-1101224,29999,-29999,20180,5785,25965,-1151403,2086446,2075695,10751,10751,935043,2295783,"RM3,230,826.00","RM3,230,826.00",,,,,,,,,,,,
ABLEGROUP BERHAD,44196,0,0,"RM-290,397.00",0,0,"RM-593,143.00",292253,"RM2,421,427.00","RM-290,397.00","RM-582,650.00","RM27,205.00","RM10,493.00",37698,"RM-593,143.00","RM-593,143.00","RM4,178,067.00",#NUM!,"RM-582,650.00","RM263,899,852.00","RM263,899,852.00",-0.0022,-0.0022,-593143,-593143,0,-593143,-593143,-593143,0,-593143,0,#NUM!,27205,10493,37698,-620348,1756640,1747564,9076,9076,1136292,2421427,"RM3,557,719.00","RM3,557,719.00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,InterestIncome,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,SpecialIncomeCharges,WriteOff,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,InterestIncomeNonOperating,OperatingIncome,OperatingExpense,OtherOperatingExpenses,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,
